"","DATE","ATM","Cash"
"722",2009-10-28,"ATM2",38
"723",2009-10-28,"ATM3",0
"724",2009-10-28,"ATM4",627
"725",2009-10-29,"ATM1",9
"726",2009-10-29,"ATM2",8
"727",2009-10-29,"ATM3",0
"728",2009-10-29,"ATM4",6
"729",2009-10-30,"ATM1",90
"730",2009-10-30,"ATM2",119
"731",2009-10-30,"ATM3",0
"732",2009-10-30,"ATM4",78
"733",2009-10-31,"ATM1",86
"734",2009-10-31,"ATM2",57
"735",2009-10-31,"ATM3",0
"736",2009-10-31,"ATM4",338
"737",2009-11-01,"ATM1",86
"738",2009-11-01,"ATM2",58
"739",2009-11-01,"ATM3",0
"740",2009-11-01,"ATM4",212
"741",2009-11-02,"ATM1",79
"742",2009-11-02,"ATM2",80
"743",2009-11-02,"ATM3",0
"744",2009-11-02,"ATM4",691
"745",2009-11-03,"ATM1",90
"746",2009-11-03,"ATM2",82
"747",2009-11-03,"ATM3",0
"748",2009-11-03,"ATM4",597
"749",2009-11-04,"ATM1",80
"750",2009-11-04,"ATM2",49
"751",2009-11-04,"ATM3",0
"752",2009-11-04,"ATM4",66
"753",2009-11-05,"ATM1",21
"754",2009-11-05,"ATM2",16
"755",2009-11-05,"ATM3",0
"756",2009-11-05,"ATM4",78
"757",2009-11-06,"ATM1",93
"758",2009-11-06,"ATM2",116
"759",2009-11-06,"ATM3",0
"760",2009-11-06,"ATM4",44
"761",2009-11-07,"ATM1",104
"762",2009-11-07,"ATM2",61
"763",2009-11-07,"ATM3",0
"764",2009-11-07,"ATM4",965
"765",2009-11-08,"ATM1",109
"766",2009-11-08,"ATM2",59
"767",2009-11-08,"ATM3",0
"768",2009-11-08,"ATM4",835
"769",2009-11-09,"ATM1",88
